"ΟΝΟΜΑΣΙΑ ΦΟΡΕΑ - ΥΠΗΡΕΣΙΑΣ","ΕΠΟΠΤΕΥΟΝ ΥΠΟΥΡΓΕΙΟ","ΝΟΜΙΚΗ ΜΟΡΦΗ - ΕΙΔΟΣ ΥΠΗΡΕΣΙΑΣ","ΤΟΜΕΙΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΑΓΩΓΗ ΣΤΟ ΔΗΜΟΣΙΟ ΤΟΜΕΑ","ΛΟΙΠΕΣ ΠΛΗΡΟΦΟΡΙΕΣ",﻿"URL","FRAMEWORKS","SERVER","CDN","SSL","COPYRIGHT"
"EMC ΕΛΛΑΣ","ΟΙΚΟΝΟΜΙΚΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΝΤΟΣ","","www.emc.gr","ASP.NET/","IIS/IIS 7/","N/A","N/A","self hosted","N/A"
"PPC FINANCE PLC","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΝΕΡΓΕΙΑΣ","ΕΚΤΟΣ","ΘΥΓΑΤΡΙΚΗ ΤΗΣ ΔΕΗ Α.Ε.","https://m.naftemporiki.gr/Asset/1223422","","","N/A","N/A","self hosted","N/A"
"ΑΓΡΟΤΙΚΟΙ ΣΥΝΕΤΑΙΡΙΣΜΟΙ ΚΛΑΔΙΚΟΙ ΑΓΡΟΤΙΚΟΙ ΣΥΝΕΤΑΙΡΙΣΜΟΙ ΚΑΙ ΚΛΑΔΙΚΟΙ ΕΘΝΙΚΟΙ ΣΥΝΕΤΑΙΡΙΣΜΟΙ","ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΚΤΟΣ","","www.minadmin.gov.gr.","PHP/","Apache/Apache 2.4/","N/A","N/A","self hosted","N/A"
"ΑΘΗΝΑ - ΕΡΕΥΝΗΤΙΚΟ ΚΕΝΤΡΟ ΚΑΙΝΟΤΟΜΙΑΣ ΣΤΙΣ ΤΕΧΝΟΛΟΓΙΕΣ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ ΤΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ ΚΑΙ ΤΗΣ ΓΝΩΣΗΣ ΣΥΣΤΗΜΑΤΩΝ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ","ΕΝΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΑΘΗΝΑΪΚΟ ΠΡΑΚΤΟΡΕΙΟ ΕΙΔΗΣΕΩΝ - ΜΑΚΕΔΟΝΙΚΟ ΠΡΑΚΤΟΡΕΙΟ ΕΙΔΗΣΕΩΝ","ΨΗΦΙΑΚΗΣ ΠΟΛΙΤΙΚΗΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΚΑΙ ΕΝΗΜΕΡΩΣΗΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΝΗΜΕΡΩΣΗΣ","ΕΝΤΟΣ","","https://www.politeianet.gr","PHP/","nginx/Apache/","yes","yes","Savvis","N/A"
"ΑΙΓΙΝΗΤΕΙΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΥΠΠΑΙΕ&Θ","https://www.aiginiteio.gr/","PHP/","nginx/","yes","yes","Cloudflare Hosting","N/A"
"ΑΚΑΔΗΜΙΑ ΑΘΗΝΩΝ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","www.academyofathens.gr/","Shockwave Flash Embed/ASP.NET/Classic ASP/","IIS/IIS 6/Apache 2.4/Apache/","N/A","N/A","self hosted","N/A"
"ΑΛΕΞΑΝΔΡΕΙΑ ΖΩΝΗ ΚΑΙΝΟΤΟΜΙΑΣ","ΕΣΩΤΕΡΙΚΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ","ΕΝΤΟΣ","","https://www.thessinnozone.gr/","PHP/","Apache/","yes","yes","self hosted","Copyright Year 2014"
"ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","erasmus.teithe.gr/index.php/el/","PHP/","Apache/Apache 2.4/","N/A","N/A","self hosted","N/A"
"ΑΛΛΗΛΟΒΟΗΘΗΤΙΚΟ ΤΑΜΕΙΟ ΠΕΡΙΘΑΛΨΗΣ ΣΥΛΛΟΓΟΥ ΥΠΑΛΛΗΛΩΝ ΤΡΑΠΕΖΑΣ ΕΛΛΑΔΟΣ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ","ΕΚΤΟΣ","","www.areiospagos.gr","ASP.NET/","IIS 7/IIS/IIS 6/","N/A","N/A","self hosted","N/A"
"ΑΛΛΗΛΟΒΟΗΘΗΤΙΚΟ ΤΑΜΕΙΟ ΠΡΟΝΟΙΑΣ ΕΡΓΑΖΟΜΕΝΩΝ ΑΓΡΟΤΙΚΗΣ ΤΡΑΠΕΖΑΣ ΤΗΣ ΕΛΛΑΔΟΣ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ","ΕΚΤΟΣ","","efapaxate.gr","The7/PHP/","Apache/","yes","yes","Hetzner","N/A"
"ΑΛΛΗΛΟΒΟΗΘΗΤΙΚΟ ΤΑΜΕΙΟ ΠΡΟΝΟΙΑΣ ΠΡΟΣΩΠΙΚΟΥ ΑΕΕΓΑ Η ΕΘΝΙΚΗ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ","ΕΚΤΟΣ","","https://www.syllogos.gr/","Shockwave Flash Embed/PHP/PHP 7/","Apache 2.0/Apache/Apache 2.4/","yes","yes","Hetzner","N/A"
"ΑΛΛΗΛΟΒΟΗΘΗΤΙΚΟ ΤΑΜΕΙΟ ΠΡΟΣΩΠΙΚΟΥ ΕΤΒΑ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ","ΕΚΤΟΣ","","www.atap-etba.gr/","","nginx/","N/A","yes","Forthnet","N/A"
"ΑΛΛΟΤΡΟΠΙΑ «ΛΑΪΚΗ ΑΚΑΔΗΜΙΑ ΓΡΑΜΜΑΤΩΝ ΤΕΧΝΩΝ ΚΑΙ ΠΑΡΑΔΟΣΗΣ»","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","kentrolaografias.gr","Shockwave Flash Embed/ASP.NET/Microsoft Office Web Server/Classic ASP/PHP/","IIS 6/IIS/IIS 7/Apache 2.2/Apache/","yes","yes","Dedicated Hosting","N/A"
"ΑΛΣΟΣ ΕΛΛΗΝΙΚΗΣ ΝΑΥΤΙΚΗΣ ΠΑΡΑΔΟΣΗΣ","ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΚΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΥΠΟΙΚ ΥΠΟΛ&ΑΘ ΚΑΙ ΥΠΝΑΝ","https://www.alsosnautikisparadosis.gr/","PHP/","Apache/","N/A","yes","self hosted","N/A"
"ΑΛΣΟΣ ΕΛΛΗΝΙΚΗΣ ΝΑΥΤΙΚΗΣ ΠΑΡΑΔΟΣΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΥΠΟΙΚ ΥΠΕΘΑ ΚΑΙ ΥΠΝ&ΝΠ","https://www.alsosnautikisparadosis.gr/","PHP/","Apache/","N/A","yes","self hosted","N/A"
"ΑΝΑΠΛΑΣΗ ΑΘΗΝΑΣ","ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΥΠΟΔΟΜΩΝ","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΑΝΕΞΑΡΤΗΤΟΣ ΔΙΑΧΕΙΡΙΣΤΗΣ ΜΕΤΑΦΟΡΑΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΝΕΡΓΕΙΑΣ","ΕΚΤΟΣ","ΘΥΓΑΤΡΙΚΗ ΤΗΣ ΔΕΗ Α.Ε.","www.admie.gr/","Shockwave Flash Embed/PHP/","Apache 2.2/Apache/","N/A","N/A","self hosted","N/A"
"ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΝΟΣ. ΘΕΣΣΑΛΟΝΙΚΗΣ ΘΕΑΓΕΝΕΙΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","4η ΔΥΠΕ","https://insurancetime.gr","PHP/","LiteSpeed/","yes","yes","self hosted","Copyright Year 2017"
"ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΒΙΟΜΗΧΑΝΙΚΗΣ ΕΡΕΥΝΑΣ ΤΕΧΝΟΛΟΓΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΡΓΑΣΤΗΡΙΑΚΩΝ ΔΟΚΙΜΩΝ ΠΙΣΤΟΠΟΙΗΣΗΣ ΚΑΙ ΠΟΙΟΤΗΤΑΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΒΙΟΜΗΧΑΝΙΑΣ","ΕΝΤΟΣ","","old.ebetam.gr/","PHP/ASP.NET/","IIS/IIS 8/","N/A","N/A","self hosted","N/A"
"ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΑΜΟΙΒΑΙΩΝ ΚΕΦΑΛΑΙΩΝ ΑΣΦΑΛΙΣΤΙΚΩΝ ΟΡΓΑΝΙΣΜΩΝ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΚΤΟΣ","","www.hpmf.gr","Shockwave Flash Embed/ASP.NET/PHP/","IIS 7/IIS/IIS 8/IIS 10/","yes","yes","Hetzner","N/A"
"ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΔΙΩΡΥΓΑ ΚΟΡΙΝΘΟΥ","ΟΙΚΟΝΟΜΙΚΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΝΤΟΣ","","https://www.rizospastis.gr","J2EE/","Apache/Apache Tomcat Coyote/","yes","yes","self hosted","N/A"
"ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΜΟΝΑΔΩΝ ΥΓΕΙΑΣ","ΥΓΕΙΑΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΝΤΟΣ","","www.aemy.gr/","J2EE/PHP/","Apache Tomcat Coyote/Apache/nginx/","yes","yes","Hetzner","N/A"
"ΑΝΩΤΑΤΗ ΔΙΑΚΛΑΔΙΚΗ ΣΧΟΛΗ ΠΟΛΕΜΟΥ","ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ","ΥΠΗΡΕΣΙΕΣ ΚΑΙ ΦΟΡΕΙΣ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ","","ΕΝΤΟΣ","","www.geetha.mil.gr","","Apache/","yes","N/A","self hosted","N/A"
"ΑΝΩΤΑΤΗ ΠΑΝΕΛΛΗΝΙΑ ΟΜΟΣΠΟΝΔΙΑ ΕΦΕΔΡΩΝ ΑΞΙΩΜΑΤΙΚΩΝ","ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","www.apoea.org.gr","ASP.NET/ASP.NET 4.0/","IIS/IIS 10/","yes","yes","Hetzner","N/A"
"ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","www.asfa.gr/","PHP/","Apache 2.2/Apache/Apache 2.4/","N/A","N/A","self hosted","N/A"
"ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΠΑΙΔΑΓΩΓΙΚΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","https://www.aspete.gr","PHP/","Apache 2.2/Apache/","yes","N/A","Dedicated Hosting","N/A"
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΡΟΔΟΥ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","https://asterodos.edu.gr/","Sydney Theme/PHP/PHP 7/","Apache/Apache 2.4/","N/A","yes","self hosted","N/A"
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΡΗΤΗΣ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","www.aegeancollege.gr","Frontpage Extensions/MODX/PHP/Sucuri Cloudproxy/","WebServer X/Apache/Apache 2.2/nginx/","yes","yes","Cloudflare Hosting","Copyright Year 2018"
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΔΡΑΜΑΤΙΚΗΣ ΤΕΧΝΗΣ ΕΘΝΙΚΟΥ ΘΕΑΤΡΟΥ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΥΠΗΡΕΣΙΕΣ ΚΑΙ ΦΟΡΕΙΣ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.n-t.gr","Adobe Dreamweaver/PHP/","Apache/Apache 2.2/Apache 2.4/","yes","yes","iomart","N/A"
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΔΡΑΜΑΤΙΚΗΣ ΤΕΧΝΗΣ ΚΡΑΤΙΚΟΥ ΘΕΑΤΡΟΥ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΥΠΗΡΕΣΙΕΣ ΚΑΙ ΦΟΡΕΙΣ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.culture.gr","ASP.NET Ajax/Microsoft Office SharePoint/ASP.NET/ASP.NET 4.0/","Apache/Oracle Application Server/Oracle HTTP Server/IIS/IIS 7/","yes","yes","Dedicated Hosting","N/A"
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΧΟΡΟΥ ΕΘΝΙΚΗΣ ΛΥΡΙΚΗΣ ΣΧΟΛΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΥΠΗΡΕΣΙΕΣ ΚΑΙ ΦΟΡΕΙΣ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","www.iekdelta360.gr/","Laravel/GlobalSign Domain Verification/","nginx/LiteSpeed/Apache/","yes","yes","iomart","N/A"
"ΑΠΟΣΤΟΛΙΚΗ ΔΙΑΚΟΝΙΑ ΤΗΣ ΕΚΚΛΗΣΙΑΣ ΤΗΣ ΕΛΛΑΔΟΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","www.apostoliki-diakonia.com.gr/","ASP.NET/Classic ASP/","IIS/IIS 10/","yes","yes","Hetzner","N/A"
